	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	162	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4
1	0	155	11	6	2	3	2	1	1	2	0	1	6	2	2	2	3	0	0	0
2	0	4	183	10	1	5	2	0	0	0	0	1	2	0	0	1	0	0	0	0
3	1	2	12	170	9	2	5	2	0	0	0	3	0	1	1	0	0	0	0	0
4	1	0	5	9	169	1	4	0	0	0	1	2	6	2	1	1	0	0	0	0
5	0	16	2	0	0	183	1	1	1	0	0	2	0	1	1	1	0	0	0	1
6	0	1	0	6	2	0	174	4	1	0	1	1	6	1	0	2	0	0	0	0
7	0	0	0	1	0	0	5	143	3	0	0	0	4	0	0	1	1	0	0	0
8	0	0	0	0	0	0	2	0	168	0	0	1	0	0	0	0	0	0	0	0
9	1	0	1	0	0	0	1	0	0	201	6	1	0	0	0	1	0	0	0	0
10	0	1	0	0	0	1	0	1	1	3	190	0	0	0	0	0	0	0	0	0
11	1	1	3	1	0	0	1	0	1	0	0	186	0	0	0	0	3	0	0	0
12	0	3	1	5	2	0	4	2	0	0	1	0	161	1	0	1	0	0	2	0
13	3	1	1	1	2	1	2	1	2	0	0	0	1	183	2	5	1	1	0	2
14	1	2	2	0	0	1	1	0	0	1	0	0	1	1	189	2	1	0	0	0
15	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	178	1	1	1	2
16	1	0	0	0	0	1	3	4	0	0	0	0	0	0	1	0	183	0	2	2
17	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	192	0	0
18	3	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	6	3	124	4
19	11	0	0	0	0	0	0	2	0	0	0	0	0	1	0	5	2	0	1	95
